По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-09-18,1.0,212.86549707602342,0.0,212.86549707602342
2020-09-19,1.0,212.28070175438597,0.0,212.28070175438597
2020-09-20,1.0,211.69590643274853,0.0,211.69590643274853
2020-09-21,1.0,211.11111111111111,0.0,211.11111111111111
2020-09-22,1.0,210.5263157894737,0.0,210.5263157894737
2020-09-23,1.0,209.94152046783626,0.0,209.94152046783626
2020-09-24,1.0,209.35672514619884,0.0,209.35672514619884
2020-09-25,1.0,208.77192982456143,0.0,208.77192982456143
2020-09-26,1.0,208.18713450292398,0.0,208.18713450292398
2020-09-27,1.0,207.60233918128654,0.0,207.60233918128654
2020-09-28,1.0,207.01754385964912,0.0,207.01754385964912
2020-09-29,1.0,206.4327485380117,0.0,206.4327485380117
2020-09-30,1.0,205.84795321637426,0.0,205.84795321637426
2020-10-01,1.0,205.26315789473685,0.0,205.26315789473685
2020-10-02,1.0,204.67836257309943,0.0,204.67836257309943
2020-10-03,1.0,204.093567251462,0.0,204.093567251462
2020-10-04,1.0,203.50877192982455,0.0,203.50877192982455
2020-10-05,1.0,202.92397660818716,0.0,202.92397660818716
2020-10-06,1.0,202.33918128654972,0.0,202.33918128654972
2020-10-07,1.0,201.75438596491227,0.0,201.75438596491227
2020-10-08,1.0,201.16959064327486,0.0,201.16959064327486
2020-10-09,1.0,200.58479532163744,0.0,200.58479532163744
2020-10-10,1.0,200.0,0.0,200.0
